model,accuracy,f1_score,precision,recall
LightGBM,0.8681818181818182,0.8711111111111111,0.9074074074074074,0.8376068376068376
XGBoost,0.8409090909090909,0.8430493273542601,0.8867924528301887,0.8034188034188035
SVC,0.8409090909090909,0.8559670781893004,0.8253968253968254,0.8888888888888888
KNeighbors,0.8181818181818182,0.8347107438016529,0.808,0.8632478632478633
RandomForest,0.8727272727272727,0.8761061946902655,0.908256880733945,0.8461538461538461
